Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
37275;155 614 483;A01;3;35;0;0;9;1;1
37204;155 614 618;A01;1;7;6;0;1;13;1
37167;155 614 692;A01;1;7;8;0;1;14;1
37010;155 614 964;C01;2;21;0;2;4;1;1
37010;155 614 965;B01;2;33;0;2;4;1;1
37010;155 614 968;A01;2;33;0;2;1;1;1
36914;155 615 136;E01;2;7;3;2;7;2;0
36914;155 615 137;C01;2;17;0;2;8;2;0
36914;155 615 138;B01;2;7;0;2;3;1;0
36914;155 615 140;A01;2;7;3;2;8;11;0
36914;155 615 141;D01;2;10;3;2;3;2;1
36754;155 615 414;A01;2;1;0;2;1;21;5
36754;155 615 415;B01;2;7;0;2;4;23;2
36670;155 615 566;A01;1;7;0;0;1;1;1
36670;155 615 567;B01;2;7;0;0;0;15;0
36469;155 615 912;A01;1;33;0;2;1;1;1
36469;155 615 913;B01;2;7;0;2;3;15;1
36170;155 616 441;A01;1;15;0;1;3;1;1
36128;155 616 515;A01;2;32;0;2;0;1;1
36128;155 616 518;B01;2;7;0;2;2;9;1
35991;155 616 761;A01;3;10;0;2;2;15;1
35991;155 616 764;B01;3;33;0;2;1;1;1
35986;155 616 770;B01;2;99;0;2;3;15;1
35986;155 616 772;A01;2;33;0;2;1;17;1
35981;155 616 777;A01;3;7;0;1;3;15;1
35978;155 616 783;A01;1;7;6;0;0;0;1
35730;155 617 211;A01;0;7;0;1;3;1;3
35693;155 617 276;B01;2;7;0;0;6;2;0
35693;155 617 277;A01;2;33;0;2;1;2;0
35610;155 617 438;A01;2;7;13;0;9;6;1
35599;155 617 456;A01;2;7;0;2;1;13;0
35599;155 617 459;B01;1;7;0;2;0;1;0
35594;155 617 463;B01;2;7;0;2;7;1;0
35594;155 617 466;A01;2;1;0;2;1;5;5
35591;155 617 469;A01;2;32;0;2;6;2;1
35591;155 617 472;B01;2;7;0;0;6;15;1
35588;155 617 475;Z01;2;7;0;2;2;12;1
35588;155 617 476;B01;2;30;0;2;4;1;1
35369;155 617 878;B01;3;7;0;2;3;23;1
35369;155 617 879;A01;3;31;0;2;1;1;1
35242;155 618 104;A01;2;10;2;0;3;13;1
35223;155 618 128;A01;3;7;0;2;6;1;1
35223;155 618 129;B01;1;7;0;2;2;1;1
35222;155 618 130;A01;3;34;0;0;7;1;1
35037;155 618 463;A01;1;7;0;2;1;5;1
35037;155 618 464;B01;2;7;0;2;1;1;1
34910;155 618 705;A01;1;33;0;2;1;2;1
34910;155 618 706;B01;1;7;0;0;6;2;1
34909;155 618 707;A01;2;10;0;2;1;13;1
34909;155 618 708;B01;1;7;0;2;1;1;1
34908;155 618 709;A01;0;7;0;1;1;1;0
34862;155 618 788;A01;1;7;0;2;2;5;1
34862;155 618 789;B01;2;7;0;2;7;21;1
34845;155 618 820;B01;3;32;0;2;8;1;1
34845;155 618 821;Z01;0;10;0;2;0;0;0
34773;155 618 936;Z01;3;7;0;2;1;5;1
34773;155 618 937;B01;3;10;0;2;1;1;1
34771;155 618 940;A01;1;7;0;2;1;5;1
34771;155 618 941;B01;1;15;0;2;1;1;0
34770;155 618 942;A01;3;7;0;9;7;1;1
34770;155 618 943;B01;3;50;0;2;1;19;3
34768;155 618 945;A01;1;7;0;1;2;1;1
34662;155 619 143;A01;3;7;0;0;2;11;1
34662;155 619 145;B01;3;33;0;0;1;1;1
34612;155 619 238;A01;1;7;0;9;1;1;0
34512;155 619 409;A01;2;7;0;2;1;1;1
34512;155 619 411;B01;2;7;0;2;4;1;1
34399;155 619 605;A01;3;7;0;2;1;1;1
34399;155 619 609;B01;1;7;0;2;1;1;1
34391;155 619 611;A01;1;7;0;2;1;1;1
34353;155 619 673;A01;2;34;0;2;1;2;0
34353;155 619 674;B01;2;7;0;2;3;13;1
34312;155 619 741;A01;2;7;0;0;8;23;1
34312;155 619 743;B01;2;15;1;0;7;1;1
33988;155 620 317;A01;3;7;0;2;3;20;6
33988;155 620 319;B01;3;31;0;2;1;21;6
33802;155 620 638;A01;1;7;2;0;1;1;1
33712;155 620 801;A01;2;32;0;2;1;17;1
33712;155 620 803;B01;2;7;0;2;8;15;1
33661;155 620 884;A01;2;7;0;1;1;1;1
33487;155 621 175;A01;1;7;0;2;3;0;0
33487;155 621 176;B01;2;33;0;2;1;0;1
33397;155 621 334;B01;1;7;0;2;4;23;1
33397;155 621 335;A01;1;7;0;2;1;1;1
33396;155 621 336;A01;3;7;0;2;6;15;1
33396;155 621 337;B01;3;2;0;2;1;2;1
33395;155 621 338;A01;1;7;0;1;1;1;1
32961;155 622 108;A01;2;2;0;0;0;0;1
32537;155 622 882;A01;2;7;0;9;6;15;1
32537;155 622 884;B01;1;1;0;2;2;1;5
32299;155 623 301;C01;1;7;0;2;4;1;0
32299;155 623 304;B01;1;10;0;2;4;0;0
32299;155 623 306;A01;1;7;0;2;1;1;6
32294;155 623 312;A01;1;34;0;2;7;17;1
32294;155 623 317;B01;1;7;0;2;8;15;1
32259;155 623 376;Z01;1;7;0;1;1;1;0
32255;155 623 383;A01;2;32;0;2;1;17;1
32255;155 623 384;B01;1;7;0;2;3;1;1
32251;155 623 390;A01;2;7;0;2;2;15;1
32251;155 623 392;B01;1;33;0;2;1;1;1
32245;155 623 398;B01;2;7;0;2;4;2;1
32245;155 623 401;A01;2;7;0;2;1;2;1
32241;155 623 410;A01;1;7;0;2;8;15;1
32241;155 623 411;B01;1;34;0;2;1;1;1
32212;155 623 456;A01;3;33;0;2;7;5;1
32212;155 623 461;B01;3;7;0;2;3;15;1
32069;155 623 712;A01;2;7;0;2;8;15;1
32069;155 623 714;B01;2;34;0;2;1;17;1
32067;155 623 718;B01;1;33;0;2;1;1;1
32067;155 623 720;A01;2;7;0;2;2;15;1
31881;155 624 071;A01;1;7;0;1;3;1;0
31861;155 624 109;A01;1;10;0;2;3;15;1
31861;155 624 113;B01;2;7;0;2;1;1;1
31528;155 624 670;A01;3;10;0;1;1;1;1
31492;155 624 734;A01;2;33;0;2;1;17;1
31492;155 624 735;B01;2;7;0;2;3;15;0
31491;155 624 736;A01;1;32;0;2;1;2;1
31491;155 624 737;B01;1;32;0;2;6;2;1
31490;155 624 738;A01;1;7;2;0;1;1;1
31481;155 624 754;A01;1;7;0;2;5;2;1
31481;155 624 755;B01;1;33;0;2;1;2;1
31257;155 625 142;A01;1;7;0;2;3;15;1
31257;155 625 143;B01;2;33;8;2;1;1;1
31180;155 625 267;A01;2;7;3;0;7;9;0
31136;155 625 330;A01;1;7;3;2;2;19;1
31136;155 625 331;B01;2;14;0;2;1;1;1
31032;155 625 530;A01;1;33;12;0;1;17;1
30984;155 625 609;A01;3;30;0;2;2;13;1
30984;155 625 610;B01;3;7;0;2;6;1;1
30982;155 625 612;A01;2;32;0;1;1;1;1
